
=== SAN SANG — DO TRONG 30 GIAY ===
Pressure(Pa),Raw(m),Kalman(m),State
22.21s,100848.28,0.250,0.150,0.00
22.26s,100848.28,0.250,0.163,0.00
22.31s,100848.50,0.228,0.172,0.00
22.36s,100849.02,0.186,0.173,0.00
22.41s,100849.18,0.173,0.173,0.00
22.46s,100849.69,0.131,0.168,0.00
22.51s,100850.10,0.096,0.158,0.00
22.56s,100849.35,0.160,0.159,0.00
22.61s,100849.69,0.131,0.155,0.00
22.66s,100850.21,0.088,0.146,0.00
22.71s,100849.86,0.115,0.142,0.00
22.76s,100850.10,0.096,0.136,0.00
22.81s,100850.43,0.070,0.127,0.00
22.86s,100850.43,0.070,0.120,0.00
22.91s,100850.43,0.070,0.113,0.00
22.96s,100850.43,0.070,0.107,0.00
23.01s,100850.60,0.054,0.100,0.00
23.06s,100851.00,0.020,0.090,0.00
23.11s,100850.60,0.054,0.085,0.00
23.16s,100850.94,0.025,0.077,0.00
23.21s,100850.03,0.102,0.080,0.00
23.26s,100850.14,0.091,0.082,0.00
23.31s,100850.82,0.036,0.076,0.00
23.36s,100850.65,0.051,0.072,0.00
23.41s,100851.72,-0.038,0.058,0.00
23.46s,100850.82,0.036,0.055,0.00
23.51s,100850.65,0.051,0.054,0.00
23.56s,100850.14,0.091,0.059,0.00
23.61s,100849.97,0.107,0.066,0.00
23.66s,100850.03,0.102,0.070,0.00
23.71s,100850.38,0.073,0.071,0.00
23.76s,100850.77,0.041,0.067,0.00
23.81s,100850.54,0.059,0.066,0.00
23.86s,100851.28,-0.007,0.056,0.00
23.91s,100850.66,0.049,0.055,0.00
23.96s,100850.60,0.054,0.055,0.00
24.01s,100850.77,0.041,0.053,0.00
24.06s,100851.11,0.012,0.048,0.00
24.11s,100850.94,0.025,0.045,0.00
24.16s,100850.54,0.059,0.047,0.00
24.21s,100850.94,0.025,0.044,0.00
24.26s,100850.43,0.070,0.047,0.00
24.31s,100849.75,0.125,0.058,0.00
24.36s,100850.43,0.070,0.059,0.00
24.41s,100850.32,0.078,0.062,0.00
24.46s,100850.16,0.091,0.065,0.00
24.51s,100849.75,0.125,0.073,0.00
24.56s,100850.27,0.080,0.074,0.00
24.61s,100849.75,0.125,0.081,0.00
24.66s,100850.43,0.070,0.080,0.00
24.71s,100850.94,0.025,0.072,0.00
24.76s,100851.11,0.012,0.064,0.00
24.81s,100852.36,-0.094,0.044,0.00
24.86s,100853.03,-0.149,0.018,0.00
24.91s,100852.30,-0.089,0.004,0.00
24.96s,100851.85,-0.049,-0.003,0.00

>>> [NHAC LEN CAO] <<<
25.01s,100851.67,-0.036,-0.007,1.00
25.06s,100851.74,-0.041,-0.012,1.00
25.11s,100852.08,-0.070,-0.019,1.00
25.16s,100851.91,-0.054,-0.024,1.00
25.21s,100851.74,-0.041,-0.026,1.00
25.26s,100852.02,-0.065,-0.031,1.00
25.31s,100852.19,-0.078,-0.038,1.00
25.36s,100852.08,-0.070,-0.042,1.00
25.41s,100850.89,0.030,-0.032,1.00
25.46s,100849.64,0.133,-0.010,1.00
25.51s,100848.63,0.218,0.020,1.00
25.56s,100846.08,0.432,0.074,1.00
25.61s,100844.89,0.532,0.134,1.00
25.66s,100843.88,0.617,0.198,1.00
25.71s,100843.03,0.688,0.263,1.00
25.76s,100843.53,0.646,0.313,1.00
25.81s,100843.71,0.630,0.355,1.00
25.86s,100843.93,0.612,0.389,1.00
25.91s,100843.09,0.683,0.427,1.00
25.96s,100843.42,0.654,0.457,1.00
26.01s,100843.93,0.612,0.478,1.00
26.06s,100843.42,0.654,0.501,1.00
26.11s,100843.42,0.654,0.521,1.00
26.16s,100843.25,0.667,0.540,1.00
26.21s,100842.69,0.715,0.563,1.00
26.26s,100842.35,0.744,0.587,1.00
26.31s,100842.00,0.773,0.611,1.00
26.36s,100841.33,0.828,0.640,1.00
26.41s,100841.50,0.815,0.663,1.00
26.46s,100841.50,0.815,0.683,1.00
26.51s,100840.99,0.857,0.706,1.00
26.56s,100840.82,0.870,0.728,1.00
26.61s,100840.65,0.886,0.749,1.00
26.66s,100840.32,0.913,0.770,1.00
26.71s,100841.73,0.797,0.774,1.00
26.76s,100841.33,0.828,0.781,1.00
